split,balance,N,classifier,eer_mean,eer_sd,ci95_lo,ci95_hi,far_at_frr,frr_at_far,n_subjects
random,fixed,10,Linear SVM,10.346666666666666,5.330928124320066,8.847318970726505,11.846014362606827,56.10352941176471,65.85882352941177,51
random,fixed,10,LDA,11.411764705882351,5.487121178134251,9.868487005654613,12.955042406110094,58.114509803921564,70.69411764705885,51
random,fixed,10,k-NN,12.461110518153866,5.797797911698985,10.830453578553637,14.091767457754095,95.22039215686274,61.15294117647059,51
random,fixed,10,Threshold,15.605490196078433,6.533620225793809,13.767879895725443,17.443100496431416,82.26352941176471,40.90588235294118,51
random,fixed,10,MLP,25.790588235294116,10.720148023561002,22.775498017525756,28.805678453062477,82.06117647058824,86.6235294117647,51
random,fixed,50,Linear SVM,8.345882352941176,4.499904521862919,7.080263811579504,9.61150089430285,48.64313725490196,58.1764705882353,51
random,fixed,50,k-NN,8.482929910513029,3.962350697502462,7.3685008185685685,9.597359002457493,71.32392156862744,76.4078431372549,51
random,fixed,50,LDA,9.043921568627454,4.551755739681721,7.763719637252764,10.32412350000214,47.07607843137256,64.46666666666667,51
random,fixed,50,MLP,11.48,5.29490623146435,9.990783624684898,12.969216375315103,62.37019607843137,59.10588235294117,51
random,fixed,50,Threshold,13.821176470588235,6.400651731521978,12.02096416189257,15.6213887792839,78.22588235294117,38.41960784313726,51
random,fixed,200,Linear SVM,7.590588235294119,4.3683046650913475,6.361982750089844,8.819193720498392,38.96627450980392,56.72941176470589,51
random,fixed,200,k-NN,7.607536806480633,3.46244149157216,6.633709444405952,8.58136416855531,41.23294117647058,95.22745098039216,51
random,fixed,200,LDA,7.91450980392157,4.294428163900516,6.706682419502274,9.122337188340868,37.954509803921574,58.129411764705885,51
random,fixed,200,MLP,9.185882352941178,4.002461830659019,8.060171823003682,10.31159288287867,42.840784313725486,66.12941176470589,51
random,fixed,200,Threshold,13.386666666666667,6.343221473877975,11.602606878220328,15.170726455113005,74.36392156862746,38.21176470588235,51
session,balanced,10,Linear SVM,14.060392156862743,8.088674047279767,11.785415921360276,16.33536839236521,57.07294117647059,80.98823529411764,51
session,balanced,10,Threshold,14.856470588235297,10.049939865199077,12.029879452541582,17.683061723929004,75.10901960784312,46.929411764705875,51
session,balanced,10,k-NN,19.718788708025528,8.975953469720043,17.194261113610185,22.24331630244087,73.63137254901963,97.01960784313727,51
session,balanced,10,LDA,27.10635916823298,7.681193322256119,24.945988733438465,29.266729603027496,82.1443137254902,99.91372549019609,51
session,balanced,10,MLP,28.235294117647058,11.471181692038737,25.00897227676444,31.461615958529677,77.01490196078431,92.8078431372549,51
session,balanced,50,Linear SVM,9.438431372549019,6.081967896182623,7.727850336889958,11.149012408208083,46.614901960784316,64.47450980392158,51
session,balanced,50,LDA,10.538823529411765,6.107518529504048,8.821056262329787,12.256590796493743,50.1521568627451,69.60000000000001,51
session,balanced,50,k-NN,10.997358501066747,7.154450659006724,8.985136827628322,13.009580174505176,59.96862745098039,92.79607843137254,51
session,balanced,50,MLP,12.943529411764706,7.312700957520255,10.88679912464311,15.000259698886302,54.64470588235294,71.27450980392157,51
session,balanced,50,Threshold,13.763137254901961,10.58705879651116,10.78547898543193,16.740795524371997,67.67843137254901,46.67058823529412,51
session,balanced,200,k-NN,7.471098858120552,6.0009058176622805,5.783316899437057,9.158880816804047,44.06588235294117,81.37254901960785,51
session,balanced,200,Linear SVM,7.695686274509804,5.282454450310749,6.209972019078447,9.181400529941161,39.5843137254902,53.07843137254902,51
session,balanced,200,MLP,8.059607843137256,5.662877699821642,6.466897824616525,9.652317861657986,38.338823529411755,51.764705882352935,51
session,balanced,200,LDA,8.264313725490197,5.592200731340734,6.6914819246787705,9.837145526301624,37.868235294117646,58.72549019607843,51
session,balanced,200,Threshold,13.560784313725488,10.764847949346477,10.533122039239768,16.588446588211212,60.83294117647059,45.870588235294115,51
session,fixed,10,Linear SVM,10.525490196078433,6.8565601619837,8.597051575035014,12.453928817121849,53.389803921568635,65.28235294117647,51
session,fixed,10,LDA,11.64313725490196,6.963970560017059,9.68448897260338,13.601785537200538,57.14509803921568,70.70196078431373,51
session,fixed,10,k-NN,14.148075661938048,10.26912573316435,11.259837507479043,17.036313816397048,90.70274509803922,67.89411764705883,51
session,fixed,10,Threshold,14.869019607843137,9.962274691033562,12.067084699701923,17.67095451598435,75.26745098039214,47.55686274509805,51
session,fixed,10,MLP,26.672941176470587,13.51424423253001,22.871998736452063,30.473883616489104,73.48235294117646,88.13725490196079,51
session,fixed,50,Linear SVM,8.585882352941175,5.484604334487798,7.043312526395908,10.128452179486445,46.51450980392157,58.58039215686275,51
session,fixed,50,k-NN,9.00289313827595,6.677654472264792,7.124772553307132,10.881013723244767,63.913725490196086,75.76470588235294,51
session,fixed,50,LDA,9.466666666666665,5.882256256460328,7.812255434817939,11.121077898515395,46.47529411764707,64.49803921568629,51
session,fixed,50,MLP,11.406274509803922,6.769037142986975,9.502452134527502,13.310096885080338,55.2078431372549,63.08235294117648,51
session,fixed,50,Threshold,13.701176470588235,10.462970447642261,10.758418611634117,16.643934329542354,67.57333333333332,46.38039215686274,51
session,fixed,200,Linear SVM,8.035294117647059,5.371633030258554,6.5244979824278335,9.546090252866284,40.390588235294125,57.992156862745105,51
session,fixed,200,LDA,8.449411764705882,5.680268096406967,6.851810618328308,10.047012911083456,38.676078431372545,61.266666666666666,51
session,fixed,200,k-NN,8.468788742773778,6.105415469976073,6.751612970715587,10.185964514831971,39.047843137254915,91.23529411764706,51
session,fixed,200,MLP,9.709019607843137,6.367990343868923,7.917993462453709,11.500045753232564,41.37725490196078,63.623529411764714,51
session,fixed,200,Threshold,13.488627450980392,10.698884618427819,10.479517662276319,16.497737239684472,60.72627450980392,45.84313725490196,51
