split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,10,Threshold,s008,0.1524,0.7144,0.6699999999999999
session,fixed,10,Threshold,s010,0.04600000000000001,0.3192,0.21000000000000002
session,fixed,10,Threshold,s011,0.2508,0.6792,0.914
session,fixed,10,Threshold,s012,0.11399999999999999,0.6224,0.348
session,fixed,10,Threshold,s013,0.1292,0.6448,0.368
session,fixed,10,Threshold,s015,0.20439999999999997,0.7632000000000001,0.8400000000000001
session,fixed,10,Threshold,s016,0.07160000000000001,0.36960000000000004,0.384
session,fixed,10,Threshold,s017,0.044400000000000016,0.46399999999999997,0.194
session,fixed,10,Threshold,s018,0.23359999999999997,0.9952,0.6900000000000001
session,fixed,10,Threshold,s019,0.055600000000000004,0.45359999999999995,0.12399999999999997
session,fixed,10,Threshold,s020,0.2596,0.9503999999999999,0.77
session,fixed,10,Threshold,s021,0.124,0.8735999999999999,0.44800000000000006
session,fixed,10,Threshold,s022,0.016400000000000005,0.3264,0.052000000000000025
session,fixed,10,Threshold,s024,0.06680000000000003,0.4064,0.20400000000000001
session,fixed,10,Threshold,s025,0.09999999999999998,0.924,0.16600000000000004
session,fixed,10,Threshold,s026,0.10199999999999998,0.7136,0.244
session,fixed,10,Threshold,s027,0.09159999999999997,0.8384,0.31
session,fixed,10,Threshold,s028,0.07160000000000001,0.5968000000000001,0.198
session,fixed,10,Threshold,s029,0.14440000000000003,0.8151999999999999,0.47400000000000003
session,fixed,10,Threshold,s030,0.1484,0.9815999999999999,0.362
session,fixed,10,Threshold,s031,0.2996,0.9687999999999999,0.9099999999999999
session,fixed,10,Threshold,s032,0.38280000000000003,0.952,0.9960000000000001
session,fixed,10,Threshold,s033,0.11479999999999999,0.9183999999999999,0.376
session,fixed,10,Threshold,s034,0.25880000000000003,0.9248,0.9280000000000002
session,fixed,10,Threshold,s035,0.27,0.9263999999999999,0.6839999999999999
session,fixed,10,Threshold,s036,0.019200000000000012,0.048,0.026000000000000002
session,fixed,10,Threshold,s037,0.21319999999999997,0.9048,0.9100000000000001
session,fixed,10,Threshold,s038,0.1232,0.9815999999999999,0.22599999999999998
session,fixed,10,Threshold,s039,0.09999999999999998,0.9911999999999999,0.18800000000000003
session,fixed,10,Threshold,s040,0.17400000000000002,0.9896,0.48999999999999994
session,fixed,10,Threshold,s041,0.1488,0.9248,0.51
session,fixed,10,Threshold,s042,0.03600000000000002,0.8448,0.038000000000000034
session,fixed,10,Threshold,s043,0.04600000000000003,0.6584000000000001,0.08800000000000001
