N,classifier,subject,selected_params,tune_ms,fit_ms,bundle_kb,warmup_queries,timed_queries,pre_mean_ms,pre_sd_ms,pre_p50_ms,pre_p95_ms,pre_p99_ms,pre_max_ms,pre_n_queries,model_mean_ms,model_sd_ms,model_p50_ms,model_p95_ms,model_p99_ms,model_max_ms,model_n_queries,e2e_mean_ms,e2e_sd_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms,e2e_n_queries
200,k-NN,s012,"{""k"": 3}",4.344833,0.235792,76.654296875,100,1000,0.071058414,0.025787901625235754,0.062792,0.12874134999999995,0.18158198999999997,0.226417,1000,0.22345447799999998,0.0783021536483607,0.1946455,0.38022644999999994,0.5073782499999997,0.981166,1000,0.29687979499999995,0.09346731320073311,0.25635399999999997,0.4905021,0.6471049099999997,0.910875,1000
200,k-NN,s013,"{""k"": 7}",4.039125,0.230291,76.654296875,100,1000,0.07481929200000001,0.029556219870812098,0.06325,0.14379169999999994,0.19179184,0.2445,1000,0.278158637,0.130610938191104,0.21639550000000002,0.4890833499999999,0.67660066,1.823209,1000,0.349895556,0.1301119136037992,0.278,0.6203433999999998,0.768905,1.113541,1000
200,k-NN,s015,"{""k"": 7}",3.758625,0.237208,76.654296875,100,1000,0.075028327,0.027057454288839954,0.063583,0.13667325,0.17613125,0.236208,1000,0.25526156299999997,0.08612482647726945,0.209458,0.45304584999999997,0.53510191,0.622333,1000,0.33147301300000004,0.10666091817334225,0.273167,0.5606143,0.6889479199999999,0.912583,1000
200,k-NN,s016,"{""k"": 7}",4.053416,0.232791,76.654296875,100,1000,0.07222461599999999,0.024977831105227395,0.063,0.12656904999999996,0.17718032999999997,0.2285,1000,0.239386076,0.07728862390105508,0.205104,0.4095395499999999,0.5166894999999999,0.611125,1000,0.312571738,0.09430016702014574,0.2684795,0.5162854,0.6595550899999999,0.854625,1000
200,k-NN,s017,"{""k"": 3}",3.740916,0.232125,76.654296875,100,1000,0.072398826,0.026373634945262094,0.062625,0.13356279999999998,0.18326292,0.208958,1000,0.22754377399999998,0.07342735024226685,0.1956455,0.36802294999999996,0.48359466999999995,0.692334,1000,0.299579756,0.09301654117865975,0.2575005,0.46991009999999994,0.6161046699999999,1.188042,1000
200,k-NN,s018,"{""k"": 5}",4.65575,0.29375,76.654296875,100,1000,0.071496496,0.026706760910681856,0.06275,0.12714134999999982,0.18209600999999995,0.246459,1000,0.234932209,0.07508057918546009,0.20156200000000002,0.3920976,0.49893574999999996,0.695917,1000,0.306814316,0.08928389575741957,0.2637705,0.49016489999999985,0.59158791,0.850209,1000
200,k-NN,s019,"{""k"": 5}",3.618708,0.227125,76.654296875,100,1000,0.07040067,0.0234165893581937,0.0626665,0.12001459999999999,0.17563541,0.206459,1000,0.224565397,0.06445440162839669,0.19937500000000002,0.3468771,0.4585300899999999,0.623875,1000,0.29548381199999996,0.08168464115410638,0.260604,0.4786521,0.57966166,0.846334,1000
200,k-NN,s020,"{""k"": 5}",3.914792,0.225542,76.654296875,100,1000,0.068923452,0.02177375253421231,0.0623335,0.11167325,0.16521508999999998,0.242209,1000,0.224111978,0.06645655296224097,0.19925,0.3525895999999998,0.4743786599999999,0.663625,1000,0.291105768,0.07909333040684924,0.260208,0.46226189999999995,0.5864499999999999,0.742542,1000
200,k-NN,s021,"{""k"": 5}",4.126875,0.234583,76.654296875,100,1000,0.072752171,0.027716420411593397,0.063125,0.13286729999999997,0.18755115999999997,0.250583,1000,0.238355754,0.08378888334675418,0.20125,0.4164728999999998,0.5419724999999999,0.751208,1000,0.310010473,0.09926142929478154,0.26316649999999997,0.5209726,0.6609178299999999,0.956167,1000
200,k-NN,s022,"{""k"": 3}",3.689375,0.231834,76.654296875,100,1000,0.077781323,0.03132908456575773,0.0642085,0.15684345,0.18529366,0.274625,1000,0.287219485,0.7688238944371807,0.20470850000000002,0.4866336499999999,0.5988638399999999,24.341666,1000,0.34205629800000004,0.13660848643650098,0.26741649999999995,0.5969694,0.76571333,1.9215,1000
200,k-NN,s024,"{""k"": 5}",4.018667,0.233959,76.654296875,100,1000,0.077537711,0.031293826087083816,0.064417,0.16227499999999997,0.18479574000000001,0.2315,1000,0.254829503,0.08779458893029474,0.208146,0.4383975999999999,0.53209643,0.607208,1000,0.332735982,0.10752634437891567,0.272625,0.5518601,0.67254708,0.743667,1000
200,k-NN,s025,"{""k"": 5}",4.892667,0.237584,76.654296875,100,1000,0.079522964,0.03005580782262514,0.06535450000000001,0.1493771,0.17925083,0.272583,1000,0.31153128500000005,0.1025485412279363,0.2950625,0.504675,0.62344384,1.034041,1000,0.391491153,0.1198669745676581,0.3665205,0.6269601,0.74648699,0.928625,1000
200,k-NN,s026,"{""k"": 5}",4.188875,0.230583,76.654296875,100,1000,0.08071575,0.030088952367573023,0.0653955,0.15242324999999998,0.17863958,0.240166,1000,0.336208276,0.0717280917776005,0.31806199999999996,0.46658715,0.5468232499999999,0.605542,1000,0.41698528700000004,0.09728767619610548,0.379542,0.6038047999999999,0.69113708,0.960834,1000
200,k-NN,s027,"{""k"": 7}",4.267584,0.24325,76.654296875,100,1000,0.07400613899999998,0.02538150964843724,0.063417,0.12980979999999998,0.16811232999999998,0.241,1000,0.246913687,0.08086583257244476,0.207166,0.4308506499999999,0.5115376699999998,0.608166,1000,0.319083606,0.09832747039978189,0.2687705,0.5401458499999999,0.64535717,0.813791,1000
200,k-NN,s028,"{""k"": 5}",3.986875,0.236,76.654296875,100,1000,0.06700197199999999,0.017414875728636706,0.0624585,0.10546425,0.15589166,0.187584,1000,0.209582171,0.04285210683282411,0.19977050000000002,0.3023771,0.35859891999999993,0.493083,1000,0.274058508,0.051423903754940006,0.2606875,0.3956869,0.47713416999999986,0.540958,1000
200,k-NN,s029,"{""k"": 7}",3.795833,0.230042,76.654296875,100,1000,0.07063525699999999,0.022869930841207906,0.062959,0.11384554999999999,0.17004466999999993,0.228917,1000,0.23560865,0.07569438428799218,0.205958,0.3763535499999998,0.48573407999999996,0.946792,1000,0.30474048400000003,0.09315791779294587,0.265896,0.5019191,0.655118,0.902875,1000
200,k-NN,s030,"{""k"": 5}",3.88025,0.231541,76.654296875,100,1000,0.08326866499999999,0.035846483361889066,0.065125,0.16611009999999998,0.18975299999999995,0.257791,1000,0.307221273,0.11423504989648897,0.2865415,0.5221994,0.6040374999999999,0.739083,1000,0.39229621,0.13519365621935764,0.37335450000000003,0.6471294499999999,0.75243783,0.861917,1000
200,k-NN,s031,"{""k"": 5}",5.095292,0.242667,76.654296875,100,1000,0.076223129,0.029808672013754364,0.064084,0.1520494,0.18466976,0.233916,1000,0.262296002,0.0952252842975517,0.2080205,0.4657226,0.55869134,0.665458,1000,0.339276479,0.11921520177396658,0.273083,0.5863163499999998,0.74816934,0.863125,1000
200,k-NN,s032,"{""k"": 5}",3.764292,0.229125,76.654296875,100,1000,0.07609891999999999,0.02779281643037878,0.06425,0.14359229999999998,0.18075167,0.216458,1000,0.24850551999999998,0.09666547483886594,0.2038545,0.4271517999999998,0.53592133,1.374584,1000,0.32198651200000006,0.11329122973297741,0.265375,0.54795065,0.6626149199999999,1.386625,1000
200,k-NN,s033,"{""k"": 5}",4.349167,0.410584,76.654296875,100,1000,0.077700084,0.032098487273517926,0.063583,0.15771634999999998,0.18372024,0.28325,1000,0.26621097099999996,0.1177785023629738,0.2033335,0.49125594999999994,0.6133,1.3195,1000,0.34968393200000003,0.2042658467399231,0.26785400000000004,0.6312621999999998,0.7897987499999997,4.443917,1000
200,k-NN,s034,"{""k"": 3}",3.765584,0.23325,76.654296875,100,1000,0.072923903,0.02561659776497737,0.063333,0.13422114999999996,0.17521149,0.240708,1000,0.226251455,0.07213836396243786,0.19645849999999998,0.38176665,0.4764692499999998,0.729291,1000,0.300921551,0.09202956829025707,0.25845850000000004,0.48694404999999996,0.6394330899999999,0.825125,1000
200,k-NN,s035,"{""k"": 5}",5.013583,0.276208,76.654296875,100,1000,0.069487255,0.02051287940854732,0.06268750000000001,0.10993064999999999,0.15951125,0.197375,1000,0.222391331,0.06519926202791274,0.1985,0.36580624999999994,0.48127958,0.595708,1000,0.2907521820000001,0.07678487992101936,0.259646,0.46039374999999993,0.59078258,0.675708,1000
200,k-NN,s036,"{""k"": 1}",3.775084,0.234291,76.654296875,100,1000,0.082860725,0.03035032245849638,0.065292,0.14621904999999993,0.17872132999999998,0.240167,1000,0.292942566,0.08806045590395076,0.28531249999999997,0.44529405,0.54496676,0.667041,1000,0.374940122,0.10706771157190369,0.358104,0.5718452,0.66959191,0.772417,1000
200,k-NN,s037,"{""k"": 5}",4.429458,0.236625,76.654296875,100,1000,0.078541085,0.028821700964694524,0.064625,0.15089969999999994,0.17446841999999999,0.191291,1000,0.254940367,0.08080754796286099,0.211063,0.42292114999999997,0.50734324,0.598791,1000,0.334433439,0.10296648305710664,0.284396,0.5384892499999999,0.65369742,0.866708,1000
200,k-NN,s038,"{""k"": 3}",3.82475,0.233333,76.654296875,100,1000,0.074550982,0.026485799336440012,0.063791,0.1396271,0.17225416,0.208208,1000,0.23640193399999998,0.09414649938507595,0.1965205,0.4431860499999999,0.5741399199999997,1.146625,1000,0.31235202700000003,0.11334244197538366,0.2587295,0.5695159999999996,0.68845268,0.98625,1000
200,k-NN,s039,"{""k"": 7}",4.074958,0.2325,76.654296875,100,1000,0.07628920099999999,0.0314220715195096,0.0634795,0.15590205,0.1860445,0.241166,1000,0.25859677,0.1166793844444486,0.2058545,0.5096746999999998,0.6567883299999999,1.117417,1000,0.334973934,0.13889906701195814,0.267937,0.6346506,0.8313854199999999,1.574333,1000
200,k-NN,s040,"{""k"": 3}",3.809542,0.229167,76.654296875,100,1000,0.07498053,0.025940988557308885,0.06427050000000001,0.13940209999999997,0.17298050999999998,0.225625,1000,0.23129522900000002,0.07116616280069014,0.198833,0.38636424999999996,0.47317167,0.579625,1000,0.308710404,0.09284433889261741,0.261584,0.5072166499999999,0.6150484199999999,0.792208,1000
200,k-NN,s041,"{""k"": 1}",3.8525,0.256584,76.654296875,100,1000,0.07138596700000001,0.02264569780614053,0.063583,0.11468569999999999,0.1647775,0.232958,1000,0.218124639,0.06918387844341449,0.1899585,0.39089789999999996,0.45687625,0.526417,1000,0.29013151100000006,0.0893099871797882,0.2524375,0.4796166999999998,0.5954797599999999,0.899583,1000
200,k-NN,s042,"{""k"": 7}",4.177916,0.236291,76.654296875,100,1000,0.074097415,0.027896446153385986,0.06343750000000001,0.14396904999999993,0.18265083,0.2285,1000,0.25848436100000005,0.09792387555612068,0.20716649999999998,0.45981489999999986,0.56898741,0.940958,1000,0.331610217,0.11531253320803757,0.26927049999999997,0.5741068999999999,0.66725392,0.92825,1000
200,k-NN,s043,"{""k"": 1}",3.898667,0.228584,76.654296875,100,1000,0.074343457,0.0263784083203226,0.064125,0.13744819999999985,0.17633551,0.252708,1000,0.23061932799999998,0.0794840386356547,0.192604,0.3992247,0.49093309,0.734292,1000,0.305736424,0.09925265302523037,0.255875,0.5158910499999998,0.65095392,0.925125,1000
200,k-NN,s044,"{""k"": 5}",3.726417,0.228125,76.654296875,100,1000,0.074061292,0.02419725028192133,0.063459,0.13164374999999998,0.16028040999999998,0.189958,1000,0.23911548900000001,0.07756140453631255,0.201854,0.40763330000000003,0.49839667,0.634042,1000,0.314120834,0.09839456253264423,0.26427100000000003,0.5220809499999998,0.6296704099999999,0.7885,1000
200,k-NN,s046,"{""k"": 7}",3.919875,0.23675,76.654296875,100,1000,0.075632315,0.030337423025854134,0.063083,0.15091664999999996,0.18927166999999998,0.26825,1000,0.278320801,0.12937705832353683,0.211104,0.5176419999999998,0.69080033,1.887791,1000,0.35650793500000005,0.20470349380627403,0.2766875,0.63803925,0.7786974999999997,5.182708,1000
