seed,subject,classifier,pca_components,eer_pct
1,24,LDA,150,0.0
1,25,k-NN,10,3.4146341463414625
1,25,LDA,10,6.153846153846154
1,25,k-NN,20,2.926829268292683
1,25,LDA,20,0.0
1,25,k-NN,40,2.8571428571428577
1,25,LDA,40,0.0
1,25,k-NN,80,3.255813953488371
1,25,LDA,80,0.0
1,25,k-NN,150,4.705882352941174
1,25,LDA,150,0.0
1,26,k-NN,10,0.0
1,26,LDA,10,0.5128205128205132
1,26,k-NN,20,0.0
1,26,LDA,20,0.5128205128205132
1,26,k-NN,40,0.0
1,26,LDA,40,0.0
1,26,k-NN,80,0.0
1,26,LDA,80,0.0
1,26,k-NN,150,0.0
1,26,LDA,150,0.0
1,27,k-NN,10,0.0
1,27,LDA,10,0.0
1,27,k-NN,20,0.0
1,27,LDA,20,1.5384615384615385
1,27,k-NN,40,0.0
1,27,LDA,40,0.0
1,27,k-NN,80,0.0
1,27,LDA,80,0.0
1,27,k-NN,150,0.0
1,27,LDA,150,0.0
1,28,k-NN,10,16.7381974248927
1,28,LDA,10,12.307692307692308
1,28,k-NN,20,16.810344827586203
1,28,LDA,20,2.564102564102564
1,28,k-NN,40,16.810344827586203
1,28,LDA,40,9.743589743589745
1,28,k-NN,80,16.88311688311688
1,28,LDA,80,1.5384615384615385
1,28,k-NN,150,16.88311688311688
1,28,LDA,150,9.230769230769232
1,29,k-NN,10,2.000000000000001
1,29,LDA,10,5.128205128205128
1,29,k-NN,20,1.0000000000000004
1,29,LDA,20,0.0
1,29,k-NN,40,0.5000000000000002
1,29,LDA,40,0.0
1,29,k-NN,80,0.0
1,29,LDA,80,0.0
1,29,k-NN,150,0.0
1,29,LDA,150,0.0
1,30,k-NN,10,1.8604651162790697
1,30,LDA,10,6.666666666666665
1,30,k-NN,20,0.0
1,30,LDA,20,2.564102564102564
1,30,k-NN,40,0.0
1,30,LDA,40,4.615384615384616
1,30,k-NN,80,0.0
1,30,LDA,80,0.5128205128205132
1,30,k-NN,150,0.0
1,30,LDA,150,0.0
1,31,k-NN,10,0.0
1,31,LDA,10,4.102564102564102
1,31,k-NN,20,0.0
1,31,LDA,20,2.564102564102564
1,31,k-NN,40,0.0
1,31,LDA,40,1.025641025641025
1,31,k-NN,80,0.0
1,31,LDA,80,0.0
1,31,k-NN,150,0.0
1,31,LDA,150,0.0
1,32,k-NN,10,0.5102040816326506
1,32,LDA,10,0.0
1,32,k-NN,20,0.0
1,32,LDA,20,0.0
1,32,k-NN,40,0.0
1,32,LDA,40,0.0
1,32,k-NN,80,0.0
1,32,LDA,80,0.0
1,32,k-NN,150,0.0
1,32,LDA,150,0.0
1,33,k-NN,10,0.0
1,33,LDA,10,5.6410256410256405
1,33,k-NN,20,0.0
1,33,LDA,20,8.717948717948717
1,33,k-NN,40,0.0
1,33,LDA,40,3.589743589743589
1,33,k-NN,80,0.0
1,33,LDA,80,1.5384615384615385
1,33,k-NN,150,0.0
1,33,LDA,150,2.0512820512820515
1,34,k-NN,10,0.0
1,34,LDA,10,1.025641025641025
1,34,k-NN,20,0.0
1,34,LDA,20,0.0
1,34,k-NN,40,0.0
1,34,LDA,40,0.0
1,34,k-NN,80,0.0
1,34,LDA,80,0.0
1,34,k-NN,150,0.0
1,34,LDA,150,0.0
1,35,k-NN,10,37.74193548387097
1,35,LDA,10,30.256410256410255
1,35,k-NN,20,37.62057877813505
1,35,LDA,20,30.256410256410255
1,35,k-NN,40,37.5
1,35,LDA,40,11.794871794871794
1,35,k-NN,80,37.5
1,35,LDA,80,1.5384615384615385
1,35,k-NN,150,37.5
1,35,LDA,150,0.0
1,36,k-NN,10,1.9834710743801685
1,36,LDA,10,3.589743589743589
1,36,k-NN,20,1.4814814814814825
1,36,LDA,20,2.0512820512820515
1,36,k-NN,40,0.5063291139240491
1,36,LDA,40,0.0
1,36,k-NN,80,0.0
1,36,LDA,80,0.0
1,36,k-NN,150,0.0
1,36,LDA,150,0.0
1,37,k-NN,10,2.0125786163522013
1,37,LDA,10,11.794871794871794
1,37,k-NN,20,1.5189873417721451
1,37,LDA,20,4.615384615384616
1,37,k-NN,40,1.5189873417721451
1,37,LDA,40,5.6410256410256405
1,37,k-NN,80,1.5189873417721451
1,37,LDA,80,1.025641025641025
1,37,k-NN,150,1.5189873417721451
1,37,LDA,150,1.025641025641025
1,38,k-NN,10,2.033898305084746
1,38,LDA,10,14.358974358974358
1,38,k-NN,20,0.9756097560975601
1,38,LDA,20,1.5384615384615385
1,38,k-NN,40,1.0000000000000004
1,38,LDA,40,1.025641025641025
1,38,k-NN,80,0.5095541401273884
1,38,LDA,80,0.0
1,38,k-NN,150,0.0
1,38,LDA,150,0.0
1,39,k-NN,10,1.5000000000000009
1,39,LDA,10,2.0512820512820515
1,39,k-NN,20,1.4285714285714275
1,39,LDA,20,0.0
1,39,k-NN,40,0.9756097560975601
1,39,LDA,40,0.0
1,39,k-NN,80,0.0
1,39,LDA,80,0.0
1,39,k-NN,150,0.0
1,39,LDA,150,0.0
1,40,k-NN,10,1.5126050420168098
1,40,LDA,10,8.717948717948717
1,40,k-NN,20,3.181818181818182
1,40,LDA,20,3.076923076923077
1,40,k-NN,40,3.111111111111111
1,40,LDA,40,4.615384615384616
1,40,k-NN,80,3.181818181818182
1,40,LDA,80,2.564102564102564
1,40,k-NN,150,3.478260869565217
1,40,LDA,150,8.717948717948717
