subject,classifier,pca_components,eer_pct,split_sd_pct,n_splits
16,LDA,10,4.82051282051282,2.8624185557517237,10
16,LDA,20,0.7179487179487178,1.2607924044161212,10
16,LDA,40,0.2564102564102565,0.6509207782789667,10
16,LDA,80,0.8717948717948717,2.2425109331429227,10
16,LDA,150,1.1282051282051282,1.5999123359723202,10
16,k-NN,10,15.252146693331222,14.558128555958007,10
16,k-NN,20,10.832549980044124,13.259621430525767,10
16,k-NN,40,3.58400061882906,8.90322930570353,10
16,k-NN,80,3.540131960254519,8.915987752468856,10
16,k-NN,150,3.5423523037610716,8.915294150530057,10
17,LDA,10,5.846153846153847,3.8162177811626194,10
17,LDA,20,3.7435897435897436,4.242967823527996,10
17,LDA,40,0.6153846153846154,1.2973446810947198,10
17,LDA,80,1.2307692307692308,3.892034043284159,10
17,LDA,150,0.5641025641025641,1.7838489365052395,10
17,k-NN,10,10.000835406659151,15.157736290586147,10
17,k-NN,20,9.619035902102269,13.315986754384117,10
17,k-NN,40,9.029014383389718,13.855745276266418,10
17,k-NN,80,6.858500858068934,10.30752566625211,10
17,k-NN,150,7.002403297093326,10.2135693286569,10
18,LDA,10,2.102564102564102,2.5862293156635308,10
18,LDA,20,1.948717948717949,4.1082581567999465,10
18,LDA,40,0.3589743589743589,0.8391752279407573,10
18,LDA,80,0.3076923076923077,0.9730085108210398,10
18,LDA,150,0.05128205128205132,0.16216808513684008,10
18,k-NN,10,1.3784026410715546,1.1665946289094247,10
18,k-NN,20,3.176927589666037,5.068251018937197,10
18,k-NN,40,2.4489500927185546,5.219330197664129,10
18,k-NN,80,2.2124250499666878,5.272292644272671,10
18,k-NN,150,0.6458474837912933,1.0139809202599077,10
19,LDA,10,7.333333333333333,8.53691711946385,10
19,LDA,20,8.102564102564102,10.24443745623217,10
19,LDA,40,8.102564102564102,10.241584726524042,10
19,LDA,80,8.153846153846153,10.206287783624195,10
19,LDA,150,7.384615384615385,9.4194083600542,10
19,k-NN,10,6.766985656048848,8.629992186741674,10
19,k-NN,20,6.767297195558063,8.630731315763226,10
19,k-NN,40,3.6026076212771487,6.986472563371313,10
19,k-NN,80,2.441209710342069,5.219503068643843,10
19,k-NN,150,0.9747756308731917,1.0884961746321473,10
20,LDA,10,1.1282051282051282,1.6537964611894458,10
20,LDA,20,0.2564102564102565,0.3626188621469474,10
20,LDA,40,0.8717948717948719,1.7272571732060347,10
20,LDA,80,0.2564102564102564,0.8108404256841998,10
