seed,subject,requested_components,actual_components,explained_variance,explained_variance_pct
2,9,20,20,0.7103006430036386,71.03006430036386
2,9,40,40,0.8119148476439273,81.19148476439273
2,9,80,80,0.9052006259611926,90.52006259611926
2,9,150,150,0.9773622975965615,97.73622975965614
2,10,10,10,0.6032656020123575,60.32656020123574
2,10,20,20,0.7126039484182913,71.26039484182914
2,10,40,40,0.8134910583368442,81.34910583368442
2,10,80,80,0.906027422529483,90.6027422529483
2,10,150,150,0.9775680599743879,97.75680599743879
2,11,10,10,0.6014928623961093,60.14928623961093
2,11,20,20,0.7101720860566476,71.01720860566476
2,11,40,40,0.8122559896970782,81.22559896970782
2,11,80,80,0.9057193577374907,90.57193577374906
2,11,150,150,0.9775565643755673,97.75565643755672
2,12,10,10,0.6014130344101648,60.14130344101648
2,12,20,20,0.7105888800221615,71.05888800221615
2,12,40,40,0.8129290226081853,81.29290226081854
2,12,80,80,0.9059603675186608,90.59603675186608
2,12,150,150,0.9775849445549306,97.75849445549306
2,13,10,10,0.6011041187165723,60.110411871657234
2,13,20,20,0.7109821173314571,71.09821173314572
2,13,40,40,0.813178481988905,81.3178481988905
2,13,80,80,0.9060811307424645,90.60811307424646
2,13,150,150,0.9775910002124288,97.75910002124289
2,14,10,10,0.6007774477632872,60.07774477632872
2,14,20,20,0.7111026840334921,71.11026840334921
2,14,40,40,0.8134169475469583,81.34169475469582
2,14,80,80,0.9064236168457666,90.64236168457666
2,14,150,150,0.9776114947704032,97.76114947704032
2,15,10,10,0.601238961143333,60.1238961143333
2,15,20,20,0.7105551081827358,71.05551081827358
2,15,40,40,0.8129478649891673,81.29478649891672
2,15,80,80,0.9061523267644855,90.61523267644856
2,15,150,150,0.9774307071011308,97.74307071011307
2,16,10,10,0.600309399900415,60.030939990041496
2,16,20,20,0.7095524903486302,70.95524903486302
2,16,40,40,0.8117036518469551,81.17036518469551
2,16,80,80,0.9053885689172916,90.53885689172915
2,16,150,150,0.97739107356304,97.739107356304
2,17,10,10,0.6006430183996668,60.06430183996668
2,17,20,20,0.7093419168816234,70.93419168816234
2,17,40,40,0.8118998028503638,81.18998028503638
2,17,80,80,0.9056986171916295,90.56986171916294
2,17,150,150,0.9773889286492263,97.73889286492263
2,18,10,10,0.6012475304057591,60.124753040575904
2,18,20,20,0.7097901352287469,70.9790135228747
2,18,40,40,0.8119211618180044,81.19211618180044
2,18,80,80,0.9054413211555971,90.5441321155597
2,18,150,150,0.9773084226025188,97.73084226025188
2,19,10,10,0.6002023198562174,60.02023198562174
2,19,20,20,0.7090201949910758,70.90201949910758
2,19,40,40,0.8110235797206522,81.10235797206522
2,19,80,80,0.904772982806747,90.4772982806747
2,19,150,150,0.9769989773603335,97.69989773603335
2,20,10,10,0.6011244846481847,60.11244846481847
2,20,20,20,0.7095260039624852,70.95260039624853
2,20,40,40,0.8118276746705558,81.18276746705558
2,20,80,80,0.9049839346648271,90.49839346648271
2,20,150,150,0.9769066409078114,97.69066409078114
2,21,10,10,0.6011774585798962,60.117745857989625
2,21,20,20,0.7094273805123168,70.94273805123169
2,21,40,40,0.8120821055696994,81.20821055696995
2,21,80,80,0.9052664707541931,90.5266470754193
2,21,150,150,0.9769224721177209,97.69224721177208
2,22,10,10,0.601338687489491,60.133868748949105
2,22,20,20,0.7095820707068553,70.95820707068553
2,22,40,40,0.8121381450585939,81.21381450585939
2,22,80,80,0.9051796561717282,90.51796561717282
2,22,150,150,0.9768752020296907,97.68752020296907
2,23,10,10,0.6007656880476957,60.07656880476957
2,23,20,20,0.7090287301967,70.90287301967
2,23,40,40,0.811572035437334,81.1572035437334
2,23,80,80,0.9049747517639446,90.49747517639446
2,23,150,150,0.9768556210240383,97.68556210240384
2,24,10,10,0.5982297719163202,59.82297719163202
2,24,20,20,0.7080362190246795,70.80362190246795
2,24,40,40,0.8108173481596832,81.08173481596832
2,24,80,80,0.904807694602105,90.4807694602105
2,24,150,150,0.9768706268842193,97.68706268842193
2,25,10,10,0.599579906396642,59.9579906396642
2,25,20,20,0.7089824589162609,70.89824589162609
2,25,40,40,0.8115047594365483,81.15047594365483
2,25,80,80,0.9054683100155436,90.54683100155437
2,25,150,150,0.9770035985447216,97.70035985447217
2,26,10,10,0.5999677294279417,59.99677294279417
2,26,20,20,0.7087670366084423,70.87670366084423
2,26,40,40,0.8116168162940746,81.16168162940745
2,26,80,80,0.905551565977884,90.5551565977884
2,26,150,150,0.9771382953787138,97.71382953787138
2,27,10,10,0.599749287478868,59.9749287478868
2,27,20,20,0.7085654966688437,70.85654966688438
